Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
219;Nate Hinton;SG;24;HOU;15;0;50;7;17;.423;5;9;.500;3;8;.333;.558;3;3;.800;5;10;15;7;2;1;2;7;22;hintona01
220;D'Moi Hodge;SG;25;LAL;7;0;59;7;21;.333;4;17;.250;3;4;.667;.433;1;3;.500;0;0;0;7;1;1;1;6;20;hodgedm01
221;Aaron Holiday;PG;27;HOU;78;1;163;24;53;.446;11;28;.387;13;26;.510;.547;7;8;.921;3;13;16;18;5;1;7;16;66;holidaa01
222;Jrue Holiday;PG;33;BOS;69;69;328;48;100;.480;20;47;.429;28;53;.526;.581;9;10;.833;12;42;54;48;9;8;18;16;125;holidjr01
223;Justin Holiday;SG;34;DEN;58;9;149;15;33;.454;9;23;.404;6;10;.569;.595;1;1;.750;2;11;12;12;6;2;2;12;40;holidju01
224;Richaun Holmes;C-PF;30;TOT;40;10;139;21;37;.558;0;1;.333;20;36;.563;.561;9;12;.723;18;28;46;6;3;5;6;19;50;holmeri01
225;Chet Holmgren;C;21;OKC;82;82;294;62;116;.530;16;43;.370;46;74;.623;.598;27;34;.793;16;63;79;24;6;23;16;24;165;holmgch01
226;Jalen Hood-Schifino;SG;20;LAL;21;0;52;5;21;.222;1;7;.133;4;14;.267;.244;6;10;.600;1;5;6;4;1;1;4;6;16;hoodsja01
227;Al Horford;C;37;BOS;65;33;268;33;64;.511;17;40;.419;16;25;.658;.640;4;5;.867;13;51;64;26;6;10;7;14;86;horfoal01
228;Talen Horton-Tucker;PG;23;UTA;51;11;198;36;91;.396;12;36;.330;24;55;.438;.460;17;21;.807;4;20;24;35;9;4;13;18;101;hortota01
229;Danuel House Jr.;SF;30;PHI;34;4;150;14;31;.448;4;15;.300;9;16;.582;.519;10;14;.761;5;12;17;8;4;1;6;13;42;houseda01
230;Caleb Houstan;SF;21;ORL;59;13;138;14;35;.388;12;33;.373;1;2;.615;.563;4;4;.808;5;9;14;5;3;1;3;10;43;houstca01
231;Jett Howard;SF;20;ORL;18;0;37;6;17;.333;4;14;.280;2;3;.600;.450;1;2;.500;1;3;4;3;1;1;2;2;16;howarje01
232;Kevin Huerter;SG;25;SAC;64;59;244;39;88;.443;19;53;.361;20;34;.571;.553;6;7;.766;6;29;35;26;7;4;8;21;102;huertke01
233;Jay Huff;C;25;DEN;20;0;25;5;8;.600;2;5;.333;3;3;1.000;.700;1;1;1.000;1;5;6;1;1;2;1;5;12;huffja01
234;De'Andre Hunter;SF;26;ATL;57;37;295;53;116;.459;21;53;.385;33;63;.521;.547;29;34;.847;5;34;39;15;7;3;15;26;156;huntede01
235;Matthew Hurt;PF;23;MEM;8;0;141;15;43;.353;6;25;.250;9;18;.500;.426;4;4;1.000;11;9;20;5;4;4;3;10;40;hurtma01
236;Bones Hyland;PG;23;LAC;37;5;146;26;68;.386;12;36;.326;14;31;.457;.474;5;6;.783;1;14;15;25;7;1;12;14;69;hylanbo01
237;Joe Ingles;SF;36;ORL;68;0;172;15;33;.436;10;24;.435;4;10;.439;.590;4;5;.824;3;18;21;30;6;1;10;13;44;inglejo01
238;Brandon Ingram;SF;26;NOP;64;64;329;78;159;.492;13;38;.355;65;121;.534;.534;38;48;.801;7;44;51;57;8;6;25;23;208;ingrabr01
239;Kyrie Irving;SG;31;DAL;58;58;350;97;195;.497;30;73;.411;67;122;.548;.573;33;36;.905;8;42;50;52;13;5;18;19;256;irvinky01
240;Jonathan Isaac;PF;26;ORL;58;2;158;25;49;.510;7;19;.375;18;30;.598;.584;10;14;.720;13;32;45;5;7;12;5;11;68;isaacjo01
241;Jaden Ivey;SG;21;DET;77;61;288;54;126;.429;16;48;.336;38;78;.485;.492;29;39;.749;11;23;34;38;7;5;25;26;154;iveyja01
242;Andre Jackson Jr.;SG;22;MIL;57;8;100;9;18;.500;3;8;.370;6;9;.611;.585;1;2;.727;8;12;20;9;3;1;5;16;22;jacksan01
243;GG Jackson II;PF;19;MEM;48;18;257;50;117;.428;21;60;.357;29;58;.502;.519;24;32;.752;11;30;41;12;6;5;14;13;146;jacksgg01
244;Isaiah Jackson;C;22;IND;59;3;131;26;39;.665;0;1;.000;26;39;.677;.665;12;17;.716;16;24;40;8;6;10;7;23;65;jacksis01
245;Jaren Jackson Jr.;C;24;MEM;66;66;322;78;176;.444;18;55;.320;60;121;.501;.494;51;63;.808;13;42;55;23;12;16;24;36;225;jacksja02
246;Justin Jackson;SF;28;MIN;2;0;5;0;0;;0;0;;0;0;;;0;0;;0;0;0;0;0;0;0;0;0;jacksju01
247;Quenton Jackson;PG;25;IND;3;0;37;0;3;.000;0;0;;0;3;.000;.000;7;7;1.000;0;13;13;7;3;0;0;3;7;jacksqu01
248;Reggie Jackson;PG;33;DEN;82;23;222;40;92;.431;12;35;.359;27;58;.475;.499;10;12;.806;4;15;19;38;5;2;13;18;102;jacksre01
249;Trayce Jackson-Davis;PF;23;GSW;68;16;166;34;49;.702;0;0;.000;34;49;.704;.702;11;19;.561;20;30;50;12;4;11;7;16;79;jackstr02
250;LeBron James;PF;39;LAL;71;71;353;96;179;.540;21;51;.410;75;128;.592;.599;43;57;.750;9;64;73;83;13;5;35;11;257;jamesle01
251;Jaime Jaquez Jr.;SF;22;MIA;75;20;282;45;93;.489;9;27;.322;37;66;.558;.536;19;23;.811;11;27;38;26;10;3;15;22;119;jaqueja01
252;DeJon Jarreau;SG;26;MEM;9;0;167;19;56;.340;4;14;.308;14;41;.351;.380;6;12;.455;9;40;49;29;7;2;10;16;48;jarrede01
253;DaQuan Jeffries;SG;26;NYK;17;0;27;4;10;.353;1;6;.200;2;4;.571;.412;0;1;.000;0;3;3;3;0;1;2;1;8;jeffrda01
254;Trey Jemison;C;24;TOT;25;14;229;30;54;.551;0;0;;30;54;.551;.551;8;10;.840;26;28;54;11;5;11;14;28;68;jemistr01
255;Ty Jerome;SG;26;CLE;2;0;75;10;20;.500;0;5;.000;10;15;.667;.500;0;0;;5;0;5;15;0;0;5;10;20;jeromty01
256;Isaiah Joe;SG;24;OKC;78;1;185;28;62;.458;19;45;.416;10;17;.568;.609;6;7;.865;4;19;23;13;6;3;6;11;82;joeis01
257;Cameron Johnson;PF;27;BRK;58;47;276;48;107;.446;24;61;.391;24;46;.519;.557;15;19;.789;9;34;43;24;8;3;10;18;134;johnsca02
258;Jalen Johnson;SF;22;ATL;56;52;337;64;125;.511;13;36;.355;51;90;.574;.562;19;26;.728;13;74;87;36;12;8;18;24;160;johnsja05
259;James Johnson;PF;36;IND;9;0;52;3;11;.300;0;2;.000;3;9;.375;.300;2;2;1.000;1;3;4;9;6;1;6;10;9;johnsja01
260;Keldon Johnson;SF;24;SAS;69;27;295;57;125;.454;18;53;.346;38;72;.533;.527;25;32;.792;14;41;55;28;7;3;14;22;157;johnske04
261;Keon Johnson;SG;21;BRK;5;0;122;16;42;.381;8;20;.400;8;22;.364;.476;22;24;.917;6;8;14;6;6;2;10;10;62;johnske07
262;Keyontae Johnson;SF;23;OKC;9;0;73;6;18;.313;1;3;.333;4;14;.308;.344;0;0;;4;7;11;4;1;0;4;6;12;johnske08
263;Nikola Joki?;C;28;DEN;79;79;346;104;179;.583;11;29;.359;94;149;.626;.612;45;55;.817;28;95;124;90;14;9;30;25;264;jokicni01
264;Colby Jones;SG;21;SAC;30;0;64;9;24;.394;1;7;.091;9;16;.531;.408;2;4;.545;6;8;13;7;2;2;3;10;21;jonesco02
265;Damian Jones;C;28;CLE;39;0;69;11;18;.597;1;4;.214;10;15;.690;.618;5;5;.857;5;11;16;4;2;3;3;7;27;jonesda03
266;Derrick Jones Jr.;SF;26;DAL;76;66;235;31;65;.483;11;31;.343;21;34;.613;.566;13;18;.713;11;22;33;10;7;7;9;16;86;jonesde02
267;Herbert Jones;SF;25;NOP;76;76;305;39;77;.498;15;36;.418;24;41;.568;.595;18;21;.867;10;26;36;26;14;8;12;29;110;joneshe01
268;Mason Jones;SG;25;SAC;5;0;56;4;16;.250;4;14;.286;0;2;.000;.375;2;4;.500;2;8;10;10;2;0;4;6;14;jonesma05
269;Tre Jones;PG;24;SAS;77;48;278;39;78;.505;8;25;.335;31;53;.584;.558;13;15;.856;8;30;38;62;10;1;15;12;100;jonestr01
270;Tyus Jones;PG;27;WAS;66;66;293;49;101;.489;16;39;.414;33;62;.537;.569;5;6;.800;3;24;27;73;11;3;10;7;120;jonesty01
271;DeAndre Jordan;C;35;DEN;36;2;110;16;26;.624;0;0;;16;26;.624;.624;7;15;.491;15;29;44;7;2;4;6;16;39;jordade01
272;Cory Joseph;PG;32;GSW;26;0;114;9;25;.359;5;16;.310;4;8;.455;.461;2;3;.571;2;9;12;16;2;1;5;10;24;josepco01
273;Nikola Jovi?;PF;20;MIA;46;38;195;28;61;.452;14;35;.399;13;26;.525;.568;7;10;.702;5;36;42;20;5;3;9;18;77;jovicni01
274;Johnny Juzang;SG;22;UTA;20;5;186;26;55;.464;16;39;.416;10;17;.576;.609;5;7;.714;4;15;18;12;2;1;7;15;72;juzanjo01
275;Luke Kennard;SG;27;MEM;39;22;256;36;81;.448;27;61;.450;9;20;.442;.617;10;12;.889;3;26;29;35;5;1;14;10;110;kennalu01
276;Walker Kessler;C;22;UTA;64;22;233;36;55;.654;1;3;.211;35;52;.680;.660;9;15;.602;26;49;75;9;5;24;10;21;81;kesslwa01
277;Braxton Key;SF;26;DEN;20;0;30;4;9;.412;1;3;.400;3;6;.417;.471;3;4;.750;2;8;9;5;1;1;1;3;11;keybr01
278;Corey Kispert;SF;24;WAS;80;22;258;48;99;.486;23;60;.383;25;39;.643;.602;14;20;.726;4;24;28;20;5;2;12;18;134;kispeco01
279;Maxi Kleber;C;32;DAL;43;7;203;15;34;.432;7;21;.348;7;13;.574;.541;8;11;.702;7;26;33;16;4;7;7;18;44;klebima01
280;Kevin Knox;SF;24;DET;31;11;181;28;60;.462;10;30;.330;18;30;.598;.546;6;7;.909;6;18;24;7;4;2;7;16;72;knoxke01
281;John Konchar;SF;27;MEM;55;23;213;16;38;.423;7;22;.317;9;16;.568;.514;4;5;.840;13;34;47;20;9;9;8;14;43;konchjo01
282;Furkan Korkmaz;SG;26;PHI;35;0;86;9;22;.395;4;11;.350;5;10;.444;.487;4;6;.700;1;7;9;7;4;1;3;5;25;korkmfu01
283;Luke Kornet;C;28;BOS;63;7;156;23;32;.700;0;0;1.000;22;32;.698;.702;8;9;.907;19;23;41;11;4;10;3;12;53;kornelu01
284;Vit Krejci;PG;23;ATL;22;14;246;23;47;.490;13;31;.412;10;16;.639;.625;2;3;.833;5;19;24;23;6;3;9;22;61;krejcvi01
285;Jonathan Kuminga;PF;21;GSW;74;46;263;62;116;.529;7;22;.321;54;94;.578;.560;30;40;.746;12;36;48;22;7;5;16;23;161;kuminjo01
286;Kyle Kuzma;PF;28;WAS;70;70;326;87;188;.463;22;64;.336;65;123;.530;.521;27;34;.775;9;57;66;42;5;7;27;22;222;kuzmaky01
287;Jock Landale;C;28;HOU;56;3;136;19;37;.515;2;7;.250;17;30;.578;.539;9;12;.800;16;15;31;12;4;6;6;13;49;landajo01
288;Jake LaRavia;PF;22;MEM;35;6;230;34;87;.389;15;45;.340;19;42;.442;.477;26;31;.826;15;22;37;17;8;3;13;20;108;laravja01
289;Zach LaVine;SG;28;CHI;25;23;349;68;150;.452;24;68;.349;44;83;.536;.531;35;41;.854;3;48;52;39;8;3;21;23;195;lavinza01
290;A.J. Lawson;SG;23;DAL;42;0;74;13;29;.446;3;12;.260;10;17;.577;.500;4;5;.652;3;9;12;5;2;1;3;5;32;lawsoaj01
291;Saben Lee;PG;24;PHO;24;0;77;8;23;.364;1;7;.125;8;16;.462;.382;12;16;.744;4;9;13;13;3;1;3;5;30;leesa01
292;Alex Len;C;30;SAC;48;0;93;10;17;.617;0;1;.000;10;16;.641;.617;4;7;.588;10;17;27;10;2;7;6;14;25;lenal01
293;Kawhi Leonard;SF;32;LAC;68;68;343;90;171;.525;21;49;.417;69;121;.569;.585;37;42;.885;12;49;61;36;16;9;18;14;237;leonaka01
294;Caris LeVert;SG;29;CLE;68;10;288;51;121;.421;16;49;.325;35;72;.486;.487;23;30;.766;6;35;41;51;11;5;17;18;140;leverca01
295;Kira Lewis Jr.;PG;22;TOT;28;0;95;12;33;.370;1;12;.121;11;21;.508;.391;6;7;.850;3;6;9;13;3;1;5;5;32;lewiski01
